dataset,seed,method,auc_roc,neg_brier,cv_lambda
Banknote Auth,1,Shapley+SII,0.9586776859504131,-0.05849323474442584,1.1
Banknote Auth,1,Best-Single,0.9654395191585274,-0.05305590909090909,1.1
Banknote Auth,1,Stacking,0.9604486422668241,-0.05215375474543951,
Banknote Auth,2,Equal,0.9651175271009982,-0.06524037009078425,1.9
Banknote Auth,2,Perf-Weighted,0.9651175271009982,-0.06523771261640317,1.9
Banknote Auth,2,Individual-Only,0.9651175271009982,-0.06523771261640317,1.9
Banknote Auth,2,Interaction-Only,0.9627025866695288,-0.0669498726047923,1.9
Banknote Auth,2,Coopetitive-0.5,0.963507566813352,-0.06474959315125343,1.9
Banknote Auth,2,Coopetitive-CV,0.962917248041215,-0.06656224211652396,1.9
Banknote Auth,2,Shapley,0.9651711924439197,-0.06522824981006822,1.9
Banknote Auth,2,Shapley+SII,0.9610926263818826,-0.06712947364307457,1.9
Banknote Auth,2,Best-Single,0.9630245787270582,-0.06486963636363637,1.9
Banknote Auth,2,Stacking,0.9656005151872921,-0.06794014356642701,
Blood Transfusion,0,Equal,0.9639376218323588,-0.04683069708979444,0.0
Blood Transfusion,0,Perf-Weighted,0.9644249512670565,-0.04623291138456779,0.0
Blood Transfusion,0,Individual-Only,0.9644249512670565,-0.04623291138456779,0.0
Blood Transfusion,0,Interaction-Only,0.946150097465887,-0.06045048369248496,0.0
Blood Transfusion,0,Coopetitive-0.5,0.9656432748538012,-0.0412430030732954,0.0
Blood Transfusion,0,Coopetitive-CV,0.9653996101364523,-0.042300604668241995,0.0
Blood Transfusion,0,Shapley,0.9646686159844055,-0.04588810407760013,0.0
Blood Transfusion,0,Shapley+SII,0.9515107212475633,-0.0576065951225642,0.0
Blood Transfusion,0,Best-Single,0.9278752436647173,-0.057090533257178014,0.0
Blood Transfusion,0,Stacking,0.9705165692007797,-0.037551794383142295,
Blood Transfusion,1,Equal,0.945228414254963,-0.05997107804219838,0.7
Blood Transfusion,1,Perf-Weighted,0.9457067687156183,-0.059818472270204585,0.7
Blood Transfusion,1,Individual-Only,0.9457067687156183,-0.059818472270204585,0.7
Blood Transfusion,1,Interaction-Only,0.9366180339631668,-0.06510536113876353,0.7
Blood Transfusion,1,Coopetitive-0.5,0.9457067687156183,-0.057487815786150025,0.7
Blood Transfusion,1,Coopetitive-CV,0.945228414254963,-0.057789008956785445,0.7
Blood Transfusion,1,Shapley,0.9461851231762737,-0.059590309685917026,0.7
Blood Transfusion,1,Shapley+SII,0.9435541736426692,-0.05949794242096733,0.7
Blood Transfusion,1,Best-Single,0.9437933508729968,-0.054753661155700684,0.7
Blood Transfusion,1,Stacking,0.9471418320975843,-0.059576504862047866,
Blood Transfusion,2,Equal,0.939571150097466,-0.04363093380188641,1.8
Blood Transfusion,2,Perf-Weighted,0.9400584795321638,-0.043359732362570624,1.8
Blood Transfusion,2,Individual-Only,0.9400584795321638,-0.043359732362570624,1.8
Blood Transfusion,2,Interaction-Only,0.9288499025341129,-0.05282978943535826,1.8
Blood Transfusion,2,Coopetitive-0.5,0.9463937621832359,-0.040196704668227924,1.8
Blood Transfusion,2,Coopetitive-CV,0.9332358674463938,-0.053818519225354675,1.8
Blood Transfusion,2,Shapley,0.9395711500974658,-0.04322288493039068,1.8
