dataset,seed,lambda,auc_roc,neg_brier
Ionosphere,3,0.3,0.9974358974358974,-0.03182868185954389
Ionosphere,3,0.4,0.9974358974358974,-0.03162678935888844
Ionosphere,3,0.5,0.9974358974358974,-0.03137282847797507
Ionosphere,3,0.6,0.9965811965811966,-0.031126800767233478
Ionosphere,3,0.7,0.9965811965811966,-0.031326550982950375
Ionosphere,3,0.8,0.9957264957264957,-0.03581859275377461
Ionosphere,3,0.9,0.9871794871794872,-0.053101717341318425
Ionosphere,3,1.0,0.976068376068376,-0.06500044002769854
Ionosphere,3,1.1,0.9735042735042735,-0.06877382529496474
Ionosphere,3,1.2,0.9735042735042735,-0.06970439678391703
Ionosphere,3,1.3,0.9735042735042735,-0.06974153461298234
Ionosphere,3,1.4,0.9752136752136752,-0.06949643413685241
Ionosphere,3,1.5,0.9752136752136752,-0.06917401092308201
Ionosphere,3,1.6,0.9752136752136752,-0.06884662071000094
Ionosphere,3,1.7,0.9752136752136752,-0.06853946402025173
Ionosphere,3,1.8,0.9752136752136752,-0.06825994754422181
Ionosphere,3,1.9,0.976068376068376,-0.0680086255765816
Ionosphere,3,2.0,0.9769230769230769,-0.0677835174322907
Ionosphere,4,0.0,0.9803418803418803,-0.05324930033507432
Ionosphere,4,0.1,0.9803418803418803,-0.05289879940086891
Ionosphere,4,0.2,0.9803418803418803,-0.05244877697217175
Ionosphere,4,0.3,0.9803418803418803,-0.05185597133887404
Ionosphere,4,0.4,0.9803418803418803,-0.05105910845268596
Ionosphere,4,0.5,0.9794871794871794,-0.05001096598251749
Ionosphere,4,0.6,0.9803418803418804,-0.049058224009605654
Ionosphere,4,0.7,0.976923076923077,-0.05302824608903681
Ionosphere,4,0.8,0.9709401709401709,-0.06977385346174203
Ionosphere,4,0.9,0.9683760683760684,-0.07897582476240315
Ionosphere,4,1.0,0.9683760683760684,-0.08324170307519198
Ionosphere,4,1.1,0.9692307692307692,-0.08557876288132285
Ionosphere,4,1.2,0.9683760683760684,-0.08701441357855588
Ionosphere,4,1.3,0.9683760683760684,-0.08797288157599803
Ionosphere,4,1.4,0.9692307692307692,-0.08865336532149005
Ionosphere,4,1.5,0.9700854700854701,-0.08915946384243187
Ionosphere,4,1.6,0.9700854700854701,-0.08954965515603525
Ionosphere,4,1.7,0.9700854700854701,-0.08985918840758483
Ionosphere,4,1.8,0.9717948717948718,-0.0901104714284203
Ionosphere,4,1.9,0.9717948717948718,-0.09031838435304167
Ionosphere,4,2.0,0.9717948717948718,-0.0904931739761578
German Credit,0,0.0,0.8369047619047619,-0.14437197497771248
German Credit,0,0.1,0.8376190476190477,-0.14388912078669563
German Credit,0,0.2,0.838452380952381,-0.1433771580530854
German Credit,0,0.3,0.839404761904762,-0.1428477398021295
German Credit,0,0.4,0.8408333333333333,-0.1423219867949146
German Credit,0,0.5,0.8416666666666667,-0.14183351820355747
German Credit,0,0.6,0.8408333333333333,-0.1414291142466538
German Credit,0,0.7,0.8417857142857142,-0.14116257320937592
German Credit,0,0.8,0.8422619047619048,-0.14107689244997212
German Credit,0,0.9,0.8416666666666667,-0.14117704038214993
German Credit,0,1.0,0.8410714285714286,-0.14141346811967062
